domain,seen_new_a,seen_new_b,samples_a,samples_b
7-14,10-4,3-13,200,200
7-14,10-4,3-18,200,200
7-14,10-4,3-19,200,200
7-14,10-4,3-2,200,200
7-14,10-4,3-20,200,200
7-14,10-4,3-8,200,200
7-14,10-4,4-1,200,200
7-14,10-4,4-10,200,200
7-14,10-4,4-11,200,200
7-14,10-4,5-1,200,169
7-14,10-4,5-16,200,200
7-14,10-4,5-20,200,200
7-14,10-4,5-5,200,200
7-14,10-4,6-1,200,200
7-14,10-4,6-6,200,200
7-14,10-4,7-10,200,200
7-14,10-4,7-11,200,200
7-14,10-4,7-20,200,200
7-14,10-4,7-7,200,200
7-14,10-4,7-8,200,200
7-14,10-4,7-9,200,200
7-14,10-4,8-1,200,200
7-14,10-4,8-13,200,200
7-14,10-4,8-18,200,200
7-14,10-4,8-3,200,200
7-14,10-4,8-7,200,150
7-14,10-4,8-8,200,200
7-14,10-4,9-1,200,200
7-14,10-4,9-20,200,200
7-14,10-4,9-7,200,200
7-14,10-7,11-1,200,200
7-14,10-7,11-10,200,200
7-14,10-7,11-17,200,150
7-14,10-7,11-19,200,200
7-14,10-7,11-20,200,200
7-14,10-7,11-4,200,200
7-14,10-7,11-7,200,200
7-14,10-7,12-19,200,200
7-14,10-7,12-20,200,200
7-14,10-7,12-7,200,200
7-14,10-7,13-14,200,200
7-14,10-7,13-19,200,200
7-14,10-7,13-20,200,175
7-14,10-7,13-3,200,200
7-14,10-7,13-7,200,200
7-14,10-7,14-11,200,200
7-14,10-7,14-12,200,200
7-14,10-7,14-13,200,200
7-14,10-7,14-14,200,200
7-14,10-7,14-20,200,200
7-14,10-7,14-8,200,200
7-14,10-7,14-9,200,200
7-14,10-7,15-1,200,200
7-14,10-7,15-19,200,200
7-14,10-7,15-6,200,200
7-14,10-7,16-1,200,200
7-14,10-7,16-16,200,200
7-14,10-7,16-19,200,200
7-14,10-7,16-20,200,200
7-14,10-7,16-5,200,150
7-14,10-7,17-10,200,200
7-14,10-7,17-11,200,200
7-14,10-7,18-1,200,200
7-14,10-7,18-10,200,200
7-14,10-7,18-11,200,200
7-14,10-7,18-12,200,200
7-14,10-7,18-13,200,200
7-14,10-7,18-14,200,200
7-14,10-7,18-15,200,200
7-14,10-7,18-16,200,200
7-14,10-7,18-17,200,200
7-14,10-7,18-2,200,200
7-14,10-7,18-20,200,200
7-14,10-7,18-4,200,200
7-14,10-7,18-5,200,200
7-14,10-7,18-7,200,200
7-14,10-7,18-8,200,200
7-14,10-7,18-9,200,200
7-14,10-7,19-1,200,200
7-14,10-7,19-10,200,200
7-14,10-7,19-11,200,200
7-14,10-7,19-12,200,200
7-14,10-7,19-13,200,200
7-14,10-7,19-14,200,200
7-14,10-7,19-19,200,200
7-14,10-7,19-2,200,200
7-14,10-7,19-20,200,200
7-14,10-7,19-3,200,200
7-14,10-7,19-4,200,200
7-14,10-7,19-6,200,200
7-14,10-7,19-7,200,200
7-14,10-7,19-8,200,200
7-14,10-7,19-9,200,200
7-14,10-7,2-12,200,200
7-14,10-7,2-13,200,200
7-14,10-7,2-14,200,200
7-14,10-7,2-15,200,200
7-14,10-7,2-16,200,150
7-14,10-7,2-17,200,200
7-14,10-7,2-19,200,200
7-14,10-7,2-20,200,150
7-14,10-7,2-3,200,200
7-14,10-7,2-4,200,200
7-14,10-7,2-5,200,200
7-14,10-7,2-6,200,165
7-14,10-7,2-7,200,200
7-14,10-7,2-8,200,200
7-14,10-7,20-1,200,200
7-14,10-7,20-12,200,200
7-14,10-7,20-14,200,200
7-14,10-7,20-16,200,200
7-14,10-7,20-18,200,200
7-14,10-7,20-20,200,200
7-14,10-7,20-3,200,200
7-14,10-7,20-4,200,200
7-14,10-7,20-5,200,200
7-14,10-7,20-7,200,200
7-14,10-7,20-8,200,200
7-14,10-7,3-1,200,200
7-14,10-7,3-13,200,200
7-14,10-7,3-18,200,200
7-14,10-7,3-19,200,200
7-14,10-7,3-2,200,200
7-14,10-7,3-20,200,200
7-14,10-7,3-8,200,200
7-14,10-7,4-1,200,200
7-14,10-7,4-10,200,200
7-14,10-7,4-11,200,200
7-14,10-7,5-1,200,169
7-14,10-7,5-16,200,200
7-14,10-7,5-20,200,200
7-14,10-7,5-5,200,200
7-14,10-7,6-1,200,200
7-14,10-7,6-6,200,200
7-14,10-7,7-10,200,200
7-14,10-7,7-11,200,200
7-14,10-7,7-20,200,200
7-14,10-7,7-7,200,200
7-14,10-7,7-8,200,200
7-14,10-7,7-9,200,200
7-14,10-7,8-1,200,200
7-14,10-7,8-13,200,200
7-14,10-7,8-18,200,200
7-14,10-7,8-3,200,200
7-14,10-7,8-7,200,150
7-14,10-7,8-8,200,200
7-14,10-7,9-1,200,200
7-14,10-7,9-20,200,200
7-14,10-7,9-7,200,200
7-14,11-1,11-10,200,200
7-14,11-1,11-17,200,150
7-14,11-1,11-19,200,200
7-14,11-1,11-20,200,200
7-14,11-1,11-4,200,200
7-14,11-1,11-7,200,200
7-14,11-1,12-19,200,200
7-14,11-1,12-20,200,200
7-14,11-1,12-7,200,200
7-14,11-1,13-14,200,200
7-14,11-1,13-19,200,200
7-14,11-1,13-20,200,175
7-14,11-1,13-3,200,200
7-14,11-1,13-7,200,200
7-14,11-1,14-11,200,200
7-14,11-1,14-12,200,200
7-14,11-1,14-13,200,200
7-14,11-1,14-14,200,200
7-14,11-1,14-20,200,200
7-14,11-1,14-8,200,200
7-14,11-1,14-9,200,200
7-14,11-1,15-1,200,200
7-14,11-1,15-19,200,200
7-14,11-1,15-6,200,200
7-14,11-1,16-1,200,200
7-14,11-1,16-16,200,200
7-14,11-1,16-19,200,200
7-14,11-1,16-20,200,200
7-14,11-1,16-5,200,150
7-14,11-1,17-10,200,200
7-14,11-1,17-11,200,200
7-14,11-1,18-1,200,200
7-14,11-1,18-10,200,200
7-14,11-1,18-11,200,200
7-14,11-1,18-12,200,200
7-14,11-1,18-13,200,200
7-14,11-1,18-14,200,200
7-14,11-1,18-15,200,200
7-14,11-1,18-16,200,200
7-14,11-1,18-17,200,200
7-14,11-1,18-2,200,200
7-14,11-1,18-20,200,200
7-14,11-1,18-4,200,200
7-14,11-1,18-5,200,200
7-14,11-1,18-7,200,200
7-14,11-1,18-8,200,200
7-14,11-1,18-9,200,200
7-14,11-1,19-1,200,200
7-14,11-1,19-10,200,200
7-14,11-1,19-11,200,200
7-14,11-1,19-12,200,200
7-14,11-1,19-13,200,200
7-14,11-1,19-14,200,200
7-14,11-1,19-19,200,200
7-14,11-1,19-2,200,200
7-14,11-1,19-20,200,200
7-14,11-1,19-3,200,200
7-14,11-1,19-4,200,200
7-14,11-1,19-6,200,200
7-14,11-1,19-7,200,200
7-14,11-1,19-8,200,200
7-14,11-1,19-9,200,200
7-14,11-1,2-12,200,200
7-14,11-1,2-13,200,200
7-14,11-1,2-14,200,200
7-14,11-1,2-15,200,200
7-14,11-1,2-16,200,150
7-14,11-1,2-17,200,200
7-14,11-1,2-19,200,200
7-14,11-1,2-20,200,150
7-14,11-1,2-3,200,200
7-14,11-1,2-4,200,200
7-14,11-1,2-5,200,200
7-14,11-1,2-6,200,165
7-14,11-1,2-7,200,200
7-14,11-1,2-8,200,200
7-14,11-1,20-1,200,200
7-14,11-1,20-12,200,200
7-14,11-1,20-14,200,200
7-14,11-1,20-16,200,200
7-14,11-1,20-18,200,200
7-14,11-1,20-20,200,200
7-14,11-1,20-3,200,200
7-14,11-1,20-4,200,200
7-14,11-1,20-5,200,200
7-14,11-1,20-7,200,200
7-14,11-1,20-8,200,200
7-14,11-1,3-1,200,200
7-14,11-1,3-13,200,200
7-14,11-1,3-18,200,200
7-14,11-1,3-19,200,200
7-14,11-1,3-2,200,200
7-14,11-1,3-20,200,200
7-14,11-1,3-8,200,200
7-14,11-1,4-1,200,200
7-14,11-1,4-10,200,200
7-14,11-1,4-11,200,200
7-14,11-1,5-1,200,169
7-14,11-1,5-16,200,200
7-14,11-1,5-20,200,200
7-14,11-1,5-5,200,200
7-14,11-1,6-1,200,200
7-14,11-1,6-6,200,200
7-14,11-1,7-10,200,200
7-14,11-1,7-11,200,200
7-14,11-1,7-20,200,200
7-14,11-1,7-7,200,200
7-14,11-1,7-8,200,200
7-14,11-1,7-9,200,200
7-14,11-1,8-1,200,200
7-14,11-1,8-13,200,200
7-14,11-1,8-18,200,200
7-14,11-1,8-3,200,200
7-14,11-1,8-7,200,150
7-14,11-1,8-8,200,200
7-14,11-1,9-1,200,200
7-14,11-1,9-20,200,200
7-14,11-1,9-7,200,200
7-14,11-10,11-17,200,150
7-14,11-10,11-19,200,200
7-14,11-10,11-20,200,200
7-14,11-10,11-4,200,200
7-14,11-10,11-7,200,200
7-14,11-10,12-19,200,200
7-14,11-10,12-20,200,200
7-14,11-10,12-7,200,200
7-14,11-10,13-14,200,200
7-14,11-10,13-19,200,200
7-14,11-10,13-20,200,175
7-14,11-10,13-3,200,200
7-14,11-10,13-7,200,200
7-14,11-10,14-11,200,200
7-14,11-10,14-12,200,200
7-14,11-10,14-13,200,200
7-14,11-10,14-14,200,200
7-14,11-10,14-20,200,200
7-14,11-10,14-8,200,200
7-14,11-10,14-9,200,200
7-14,11-10,15-1,200,200
7-14,11-10,15-19,200,200
7-14,11-10,15-6,200,200
7-14,11-10,16-1,200,200
7-14,11-10,16-16,200,200
7-14,11-10,16-19,200,200
7-14,11-10,16-20,200,200
7-14,11-10,16-5,200,150
7-14,11-10,17-10,200,200
7-14,11-10,17-11,200,200
7-14,11-10,18-1,200,200
7-14,11-10,18-10,200,200
7-14,11-10,18-11,200,200
7-14,11-10,18-12,200,200
7-14,11-10,18-13,200,200
7-14,11-10,18-14,200,200
7-14,11-10,18-15,200,200
7-14,11-10,18-16,200,200
7-14,11-10,18-17,200,200
7-14,11-10,18-2,200,200
7-14,11-10,18-20,200,200
7-14,11-10,18-4,200,200
7-14,11-10,18-5,200,200
7-14,11-10,18-7,200,200
7-14,11-10,18-8,200,200
7-14,11-10,18-9,200,200
7-14,11-10,19-1,200,200
7-14,11-10,19-10,200,200
7-14,11-10,19-11,200,200
7-14,11-10,19-12,200,200
7-14,11-10,19-13,200,200
7-14,11-10,19-14,200,200
7-14,11-10,19-19,200,200
7-14,11-10,19-2,200,200
7-14,11-10,19-20,200,200
7-14,11-10,19-3,200,200
7-14,11-10,19-4,200,200
7-14,11-10,19-6,200,200
7-14,11-10,19-7,200,200
7-14,11-10,19-8,200,200
7-14,11-10,19-9,200,200
7-14,11-10,2-12,200,200
7-14,11-10,2-13,200,200
7-14,11-10,2-14,200,200
7-14,11-10,2-15,200,200
7-14,11-10,2-16,200,150
7-14,11-10,2-17,200,200
7-14,11-10,2-19,200,200
7-14,11-10,2-20,200,150
7-14,11-10,2-3,200,200
7-14,11-10,2-4,200,200
7-14,11-10,2-5,200,200
7-14,11-10,2-6,200,165
7-14,11-10,2-7,200,200
7-14,11-10,2-8,200,200
7-14,11-10,20-1,200,200
7-14,11-10,20-12,200,200
7-14,11-10,20-14,200,200
7-14,11-10,20-16,200,200
7-14,11-10,20-18,200,200
7-14,11-10,20-20,200,200
7-14,11-10,20-3,200,200
7-14,11-10,20-4,200,200
7-14,11-10,20-5,200,200
7-14,11-10,20-7,200,200
7-14,11-10,20-8,200,200
7-14,11-10,3-1,200,200
7-14,11-10,3-13,200,200
7-14,11-10,3-18,200,200
7-14,11-10,3-19,200,200
7-14,11-10,3-2,200,200
7-14,11-10,3-20,200,200
7-14,11-10,3-8,200,200
7-14,11-10,4-1,200,200
7-14,11-10,4-10,200,200
7-14,11-10,4-11,200,200
7-14,11-10,5-1,200,169
7-14,11-10,5-16,200,200
7-14,11-10,5-20,200,200
7-14,11-10,5-5,200,200
7-14,11-10,6-1,200,200
7-14,11-10,6-6,200,200
7-14,11-10,7-10,200,200
7-14,11-10,7-11,200,200
7-14,11-10,7-20,200,200
7-14,11-10,7-7,200,200
7-14,11-10,7-8,200,200
7-14,11-10,7-9,200,200
7-14,11-10,8-1,200,200
7-14,11-10,8-13,200,200
7-14,11-10,8-18,200,200
7-14,11-10,8-3,200,200
7-14,11-10,8-7,200,150
7-14,11-10,8-8,200,200
7-14,11-10,9-1,200,200
7-14,11-10,9-20,200,200
7-14,11-10,9-7,200,200
7-14,11-17,11-19,150,200
7-14,11-17,11-20,150,200
7-14,11-17,11-4,150,200
7-14,11-17,11-7,150,200
7-14,11-17,12-19,150,200
7-14,11-17,12-20,150,200
7-14,11-17,12-7,150,200
7-14,11-17,13-14,150,200
7-14,11-17,13-19,150,200
7-14,11-17,13-20,150,175
7-14,11-17,13-3,150,200
7-14,11-17,13-7,150,200
7-14,11-17,14-11,150,200
7-14,11-17,14-12,150,200
7-14,11-17,14-13,150,200
7-14,11-17,14-14,150,200
7-14,11-17,14-20,150,200
7-14,11-17,14-8,150,200
7-14,11-17,14-9,150,200
7-14,11-17,15-1,150,200
7-14,11-17,15-19,150,200
7-14,11-17,15-6,150,200
7-14,11-17,16-1,150,200
7-14,11-17,16-16,150,200
7-14,11-17,16-19,150,200
7-14,11-17,16-20,150,200
7-14,11-17,16-5,150,150
7-14,11-17,17-10,150,200
7-14,11-17,17-11,150,200
7-14,11-17,18-1,150,200
7-14,11-17,18-10,150,200
7-14,11-17,18-11,150,200
7-14,11-17,18-12,150,200
7-14,11-17,18-13,150,200
7-14,11-17,18-14,150,200
7-14,11-17,18-15,150,200
7-14,11-17,18-16,150,200
7-14,11-17,18-17,150,200
7-14,11-17,18-2,150,200
7-14,11-17,18-20,150,200
7-14,11-17,18-4,150,200
7-14,11-17,18-5,150,200
7-14,11-17,18-7,150,200
7-14,11-17,18-8,150,200
7-14,11-17,18-9,150,200
7-14,11-17,19-1,150,200
7-14,11-17,19-10,150,200
7-14,11-17,19-11,150,200
7-14,11-17,19-12,150,200
7-14,11-17,19-13,150,200
7-14,11-17,19-14,150,200
7-14,11-17,19-19,150,200
7-14,11-17,19-2,150,200
7-14,11-17,19-20,150,200
7-14,11-17,19-3,150,200
7-14,11-17,19-4,150,200
7-14,11-17,19-6,150,200
7-14,11-17,19-7,150,200
7-14,11-17,19-8,150,200
7-14,11-17,19-9,150,200
7-14,11-17,2-12,150,200
7-14,11-17,2-13,150,200
7-14,11-17,2-14,150,200
7-14,11-17,2-15,150,200
7-14,11-17,2-16,150,150
7-14,11-17,2-17,150,200
7-14,11-17,2-19,150,200
7-14,11-17,2-20,150,150
7-14,11-17,2-3,150,200
7-14,11-17,2-4,150,200
7-14,11-17,2-5,150,200
7-14,11-17,2-6,150,165
7-14,11-17,2-7,150,200
7-14,11-17,2-8,150,200
7-14,11-17,20-1,150,200
7-14,11-17,20-12,150,200
7-14,11-17,20-14,150,200
7-14,11-17,20-16,150,200
7-14,11-17,20-18,150,200
7-14,11-17,20-20,150,200
7-14,11-17,20-3,150,200
7-14,11-17,20-4,150,200
7-14,11-17,20-5,150,200
7-14,11-17,20-7,150,200
7-14,11-17,20-8,150,200
7-14,11-17,3-1,150,200
7-14,11-17,3-13,150,200
7-14,11-17,3-18,150,200
7-14,11-17,3-19,150,200
7-14,11-17,3-2,150,200
7-14,11-17,3-20,150,200
7-14,11-17,3-8,150,200
7-14,11-17,4-1,150,200
7-14,11-17,4-10,150,200
7-14,11-17,4-11,150,200
7-14,11-17,5-1,150,169
7-14,11-17,5-16,150,200
7-14,11-17,5-20,150,200
7-14,11-17,5-5,150,200
7-14,11-17,6-1,150,200
7-14,11-17,6-6,150,200
7-14,11-17,7-10,150,200
7-14,11-17,7-11,150,200
7-14,11-17,7-20,150,200
7-14,11-17,7-7,150,200
7-14,11-17,7-8,150,200
7-14,11-17,7-9,150,200
7-14,11-17,8-1,150,200
7-14,11-17,8-13,150,200
7-14,11-17,8-18,150,200
7-14,11-17,8-3,150,200
7-14,11-17,8-7,150,150
7-14,11-17,8-8,150,200
7-14,11-17,9-1,150,200
7-14,11-17,9-20,150,200
7-14,11-17,9-7,150,200
7-14,11-19,11-20,200,200
7-14,11-19,11-4,200,200
7-14,11-19,11-7,200,200
7-14,11-19,12-19,200,200
7-14,11-19,12-20,200,200
7-14,11-19,12-7,200,200
7-14,11-19,13-14,200,200
7-14,11-19,13-19,200,200
7-14,11-19,13-20,200,175
7-14,11-19,13-3,200,200
7-14,11-19,13-7,200,200
7-14,11-19,14-11,200,200
7-14,11-19,14-12,200,200
7-14,11-19,14-13,200,200
7-14,11-19,14-14,200,200
7-14,11-19,14-20,200,200
7-14,11-19,14-8,200,200
7-14,11-19,14-9,200,200
7-14,11-19,15-1,200,200
7-14,11-19,15-19,200,200
7-14,11-19,15-6,200,200
7-14,11-19,16-1,200,200
7-14,11-19,16-16,200,200
7-14,11-19,16-19,200,200
7-14,11-19,16-20,200,200
7-14,11-19,16-5,200,150
7-14,11-19,17-10,200,200
7-14,11-19,17-11,200,200
7-14,11-19,18-1,200,200
7-14,11-19,18-10,200,200
7-14,11-19,18-11,200,200
7-14,11-19,18-12,200,200
7-14,11-19,18-13,200,200
7-14,11-19,18-14,200,200
7-14,11-19,18-15,200,200
7-14,11-19,18-16,200,200
7-14,11-19,18-17,200,200
7-14,11-19,18-2,200,200
7-14,11-19,18-20,200,200
7-14,11-19,18-4,200,200
7-14,11-19,18-5,200,200
7-14,11-19,18-7,200,200
7-14,11-19,18-8,200,200
7-14,11-19,18-9,200,200
7-14,11-19,19-1,200,200
7-14,11-19,19-10,200,200
7-14,11-19,19-11,200,200
7-14,11-19,19-12,200,200
7-14,11-19,19-13,200,200
7-14,11-19,19-14,200,200
7-14,11-19,19-19,200,200
7-14,11-19,19-2,200,200
7-14,11-19,19-20,200,200
7-14,11-19,19-3,200,200
7-14,11-19,19-4,200,200
7-14,11-19,19-6,200,200
7-14,11-19,19-7,200,200
7-14,11-19,19-8,200,200
7-14,11-19,19-9,200,200
7-14,11-19,2-12,200,200
7-14,11-19,2-13,200,200
7-14,11-19,2-14,200,200
7-14,11-19,2-15,200,200
7-14,11-19,2-16,200,150
7-14,11-19,2-17,200,200
7-14,11-19,2-19,200,200
7-14,11-19,2-20,200,150
7-14,11-19,2-3,200,200
7-14,11-19,2-4,200,200
7-14,11-19,2-5,200,200
7-14,11-19,2-6,200,165
7-14,11-19,2-7,200,200
7-14,11-19,2-8,200,200
7-14,11-19,20-1,200,200
7-14,11-19,20-12,200,200
7-14,11-19,20-14,200,200
7-14,11-19,20-16,200,200
7-14,11-19,20-18,200,200
7-14,11-19,20-20,200,200
7-14,11-19,20-3,200,200
7-14,11-19,20-4,200,200
7-14,11-19,20-5,200,200
7-14,11-19,20-7,200,200
7-14,11-19,20-8,200,200
7-14,11-19,3-1,200,200
7-14,11-19,3-13,200,200
7-14,11-19,3-18,200,200
7-14,11-19,3-19,200,200
7-14,11-19,3-2,200,200
7-14,11-19,3-20,200,200
7-14,11-19,3-8,200,200
7-14,11-19,4-1,200,200
7-14,11-19,4-10,200,200
7-14,11-19,4-11,200,200
7-14,11-19,5-1,200,169
7-14,11-19,5-16,200,200
7-14,11-19,5-20,200,200
7-14,11-19,5-5,200,200
7-14,11-19,6-1,200,200
7-14,11-19,6-6,200,200
7-14,11-19,7-10,200,200
7-14,11-19,7-11,200,200
7-14,11-19,7-20,200,200
7-14,11-19,7-7,200,200
7-14,11-19,7-8,200,200
7-14,11-19,7-9,200,200
7-14,11-19,8-1,200,200
7-14,11-19,8-13,200,200
7-14,11-19,8-18,200,200
7-14,11-19,8-3,200,200
7-14,11-19,8-7,200,150
7-14,11-19,8-8,200,200
7-14,11-19,9-1,200,200
7-14,11-19,9-20,200,200
7-14,11-19,9-7,200,200
7-14,11-20,11-4,200,200
7-14,11-20,11-7,200,200
7-14,11-20,12-19,200,200
7-14,11-20,12-20,200,200
7-14,11-20,12-7,200,200
7-14,11-20,13-14,200,200
7-14,11-20,13-19,200,200
7-14,11-20,13-20,200,175
7-14,11-20,13-3,200,200
7-14,11-20,13-7,200,200
7-14,11-20,14-11,200,200
7-14,11-20,14-12,200,200
7-14,11-20,14-13,200,200
7-14,11-20,14-14,200,200
7-14,11-20,14-20,200,200
7-14,11-20,14-8,200,200
7-14,11-20,14-9,200,200
7-14,11-20,15-1,200,200
7-14,11-20,15-19,200,200
7-14,11-20,15-6,200,200
7-14,11-20,16-1,200,200
7-14,11-20,16-16,200,200
7-14,11-20,16-19,200,200
7-14,11-20,16-20,200,200
7-14,11-20,16-5,200,150
7-14,11-20,17-10,200,200
7-14,11-20,17-11,200,200
7-14,11-20,18-1,200,200
7-14,11-20,18-10,200,200
7-14,11-20,18-11,200,200
7-14,11-20,18-12,200,200
7-14,11-20,18-13,200,200
7-14,11-20,18-14,200,200
7-14,11-20,18-15,200,200
7-14,11-20,18-16,200,200
7-14,11-20,18-17,200,200
7-14,11-20,18-2,200,200
7-14,11-20,18-20,200,200
7-14,11-20,18-4,200,200
7-14,11-20,18-5,200,200
7-14,11-20,18-7,200,200
7-14,11-20,18-8,200,200
7-14,11-20,18-9,200,200
7-14,11-20,19-1,200,200
7-14,11-20,19-10,200,200
7-14,11-20,19-11,200,200
7-14,11-20,19-12,200,200
7-14,11-20,19-13,200,200
7-14,11-20,19-14,200,200
7-14,11-20,19-19,200,200
7-14,11-20,19-2,200,200
7-14,11-20,19-20,200,200
7-14,11-20,19-3,200,200
7-14,11-20,19-4,200,200
7-14,11-20,19-6,200,200
7-14,11-20,19-7,200,200
7-14,11-20,19-8,200,200
7-14,11-20,19-9,200,200
7-14,11-20,2-12,200,200
7-14,11-20,2-13,200,200
7-14,11-20,2-14,200,200
7-14,11-20,2-15,200,200
7-14,11-20,2-16,200,150
7-14,11-20,2-17,200,200
7-14,11-20,2-19,200,200
7-14,11-20,2-20,200,150
7-14,11-20,2-3,200,200
7-14,11-20,2-4,200,200
7-14,11-20,2-5,200,200
7-14,11-20,2-6,200,165
7-14,11-20,2-7,200,200
7-14,11-20,2-8,200,200
7-14,11-20,20-1,200,200
7-14,11-20,20-12,200,200
7-14,11-20,20-14,200,200
7-14,11-20,20-16,200,200
7-14,11-20,20-18,200,200
7-14,11-20,20-20,200,200
7-14,11-20,20-3,200,200
7-14,11-20,20-4,200,200
7-14,11-20,20-5,200,200
7-14,11-20,20-7,200,200
7-14,11-20,20-8,200,200
7-14,11-20,3-1,200,200
7-14,11-20,3-13,200,200
7-14,11-20,3-18,200,200
7-14,11-20,3-19,200,200
7-14,11-20,3-2,200,200
7-14,11-20,3-20,200,200
7-14,11-20,3-8,200,200
7-14,11-20,4-1,200,200
7-14,11-20,4-10,200,200
7-14,11-20,4-11,200,200
7-14,11-20,5-1,200,169
7-14,11-20,5-16,200,200
7-14,11-20,5-20,200,200
7-14,11-20,5-5,200,200
7-14,11-20,6-1,200,200
7-14,11-20,6-6,200,200
7-14,11-20,7-10,200,200
7-14,11-20,7-11,200,200
7-14,11-20,7-20,200,200
7-14,11-20,7-7,200,200
7-14,11-20,7-8,200,200
7-14,11-20,7-9,200,200
7-14,11-20,8-1,200,200
7-14,11-20,8-13,200,200
7-14,11-20,8-18,200,200
7-14,11-20,8-3,200,200
7-14,11-20,8-7,200,150
7-14,11-20,8-8,200,200
7-14,11-20,9-1,200,200
7-14,11-20,9-20,200,200
7-14,11-20,9-7,200,200
7-14,11-4,11-7,200,200
7-14,11-4,12-19,200,200
7-14,11-4,12-20,200,200
7-14,11-4,12-7,200,200
7-14,11-4,13-14,200,200
7-14,11-4,13-19,200,200
7-14,11-4,13-20,200,175
7-14,11-4,13-3,200,200
7-14,11-4,13-7,200,200
7-14,11-4,14-11,200,200
7-14,11-4,14-12,200,200
7-14,11-4,14-13,200,200
7-14,11-4,14-14,200,200
7-14,11-4,14-20,200,200
7-14,11-4,14-8,200,200
7-14,11-4,14-9,200,200
7-14,11-4,15-1,200,200
7-14,11-4,15-19,200,200
7-14,11-4,15-6,200,200
7-14,11-4,16-1,200,200
7-14,11-4,16-16,200,200
7-14,11-4,16-19,200,200
7-14,11-4,16-20,200,200
7-14,11-4,16-5,200,150
7-14,11-4,17-10,200,200
7-14,11-4,17-11,200,200
7-14,11-4,18-1,200,200
7-14,11-4,18-10,200,200
7-14,11-4,18-11,200,200
7-14,11-4,18-12,200,200
7-14,11-4,18-13,200,200
7-14,11-4,18-14,200,200
7-14,11-4,18-15,200,200
7-14,11-4,18-16,200,200
7-14,11-4,18-17,200,200
7-14,11-4,18-2,200,200
7-14,11-4,18-20,200,200
7-14,11-4,18-4,200,200
7-14,11-4,18-5,200,200
7-14,11-4,18-7,200,200
7-14,11-4,18-8,200,200
7-14,11-4,18-9,200,200
7-14,11-4,19-1,200,200
7-14,11-4,19-10,200,200
7-14,11-4,19-11,200,200
7-14,11-4,19-12,200,200
7-14,11-4,19-13,200,200
7-14,11-4,19-14,200,200
7-14,11-4,19-19,200,200
7-14,11-4,19-2,200,200
7-14,11-4,19-20,200,200
7-14,11-4,19-3,200,200
7-14,11-4,19-4,200,200
7-14,11-4,19-6,200,200
7-14,11-4,19-7,200,200
7-14,11-4,19-8,200,200
7-14,11-4,19-9,200,200
7-14,11-4,2-12,200,200
7-14,11-4,2-13,200,200
7-14,11-4,2-14,200,200
7-14,11-4,2-15,200,200
7-14,11-4,2-16,200,150
7-14,11-4,2-17,200,200
7-14,11-4,2-19,200,200
7-14,11-4,2-20,200,150
7-14,11-4,2-3,200,200
7-14,11-4,2-4,200,200
7-14,11-4,2-5,200,200
7-14,11-4,2-6,200,165
7-14,11-4,2-7,200,200
7-14,11-4,2-8,200,200
7-14,11-4,20-1,200,200
7-14,11-4,20-12,200,200
7-14,11-4,20-14,200,200
7-14,11-4,20-16,200,200
7-14,11-4,20-18,200,200
7-14,11-4,20-20,200,200
7-14,11-4,20-3,200,200
7-14,11-4,20-4,200,200
7-14,11-4,20-5,200,200
7-14,11-4,20-7,200,200
7-14,11-4,20-8,200,200
7-14,11-4,3-1,200,200
7-14,11-4,3-13,200,200
7-14,11-4,3-18,200,200
7-14,11-4,3-19,200,200
7-14,11-4,3-2,200,200
7-14,11-4,3-20,200,200
7-14,11-4,3-8,200,200
7-14,11-4,4-1,200,200
7-14,11-4,4-10,200,200
7-14,11-4,4-11,200,200
7-14,11-4,5-1,200,169
7-14,11-4,5-16,200,200
7-14,11-4,5-20,200,200
7-14,11-4,5-5,200,200
7-14,11-4,6-1,200,200
7-14,11-4,6-6,200,200
7-14,11-4,7-10,200,200
7-14,11-4,7-11,200,200
7-14,11-4,7-20,200,200
7-14,11-4,7-7,200,200
7-14,11-4,7-8,200,200
7-14,11-4,7-9,200,200
7-14,11-4,8-1,200,200
7-14,11-4,8-13,200,200
7-14,11-4,8-18,200,200
7-14,11-4,8-3,200,200
7-14,11-4,8-7,200,150
7-14,11-4,8-8,200,200
7-14,11-4,9-1,200,200
7-14,11-4,9-20,200,200
7-14,11-4,9-7,200,200
7-14,11-7,12-19,200,200
7-14,11-7,12-20,200,200
7-14,11-7,12-7,200,200
7-14,11-7,13-14,200,200
7-14,11-7,13-19,200,200
7-14,11-7,13-20,200,175
7-14,11-7,13-3,200,200
7-14,11-7,13-7,200,200
7-14,11-7,14-11,200,200
7-14,11-7,14-12,200,200
7-14,11-7,14-13,200,200
7-14,11-7,14-14,200,200
7-14,11-7,14-20,200,200
7-14,11-7,14-8,200,200
7-14,11-7,14-9,200,200
7-14,11-7,15-1,200,200
7-14,11-7,15-19,200,200
7-14,11-7,15-6,200,200
7-14,11-7,16-1,200,200
7-14,11-7,16-16,200,200
7-14,11-7,16-19,200,200
7-14,11-7,16-20,200,200
7-14,11-7,16-5,200,150
7-14,11-7,17-10,200,200
7-14,11-7,17-11,200,200
7-14,11-7,18-1,200,200
7-14,11-7,18-10,200,200
7-14,11-7,18-11,200,200
7-14,11-7,18-12,200,200
7-14,11-7,18-13,200,200
7-14,11-7,18-14,200,200
